,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
91,41.14,0.75,37.34,0.7,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,46.43,1334016000,0,6.22,180.0,12.01,11.32
92,40.03,,34.69,0.72,clear-night,0.0,0.0,,Clear,43.02,1334448000,0,6.21,30.0,4.99,4.99
93,32.88,0.75,34.06,0.88,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.22,1329523200,0,6.22,270.0,5.74,5.41
94,4.85,,2.04,0.88,clear-night,0.0,0.0,,Clear,4.85,1328400000,0,6.21,257.0,2.31,2.31
95,29.43,,23.33,0.57,clear-night,0.0,0.0,,Clear,37.14,1330819200,0,6.21,95.0,12.01,11.55
96,45.11,,41.34,0.76,clear-night,0.0,0.0,,Clear,48.43,1316217600,0,6.21,111.0,7.41,7.41
97,39.02,0.75,39.54,0.77,wind,0.0,0.0,,Breezy and Mostly Cloudy,46.44,1333152000,0,6.22,281.0,35.66,19.55
98,53.63,,51.79,0.93,clear-night,0.0,0.0,,Clear,53.63,1317427200,0,6.22,104.0,1.0,0.85
99,74.82,,69.8,0.88,clear-night,0.0,0.0,,Clear,73.63,1314403200,0,6.21,90.0,7.01,6.9
100,26.73,0.61,32.19,0.91,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,34.56,1327104000,0,6.22,270.0,10.99,10.35
101,44.62,,40.13,0.84,clear-night,0.0,0.0,,Clear,44.62,1332028800,0,3.66,49.0,1.29,1.29
102,64.98,,62.59,0.94,clear-night,0.0,0.0,,Clear,64.43,1312588800,0,6.21,12.0,2.29,1.98
103,47.24,,44.59,0.9,clear-night,0.0,0.0,,Clear,47.24,1316822400,0,6.21,167.0,1.16,0.79
104,38.93,0.75,32.04,0.62,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,44.32,1331337600,0,6.22,239.0,10.35,10.17
105,57.23,0.75,56.22,0.96,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,57.23,1315612800,0,4.69,115.0,2.09,2.09
106,45.51,,39.22,0.71,clear-night,0.0,0.0,,Clear,48.07,1335052800,0,6.21,200.0,,5.74
107,56.63,,49.99,0.78,clear-night,0.0,0.0,,Clear,56.63,1313798400,0,6.21,260.0,10.35,10.35
